,State,Age Group,Peak,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,Population,LATITUDE,LONGITUDE
110,Connecticut,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,521.0,0.0,0.0,0.0,11.0,0.011231447244063018,268.3970841771263,265.36816522725485,4006845,373.47300900000005,-655.8330780000001
112,Connecticut,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,725.0,0.0,0.0,0.0,17.0,0.016140728769823906,358.74338528686957,354.81404861645973,3832776,373.47300900000005,-655.8330780000001
114,Connecticut,45-54,First,0.0,40.0,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,90.0,1352.0,27.0,0.0,0.0,113.0,0.029162332182750106,452.24792489634297,447.47903618704714,4289463,373.47300900000005,-655.8330780000001
116,Connecticut,55-64,First,22.0,121.0,0.0,55.0,0.0,10.0,31.0,57.0,24.0,47.0,67.0,0.0,24.0,11.0,22.0,11.0,31.0,31.0,0.0,119.0,45.0,0.0,358.0,3147.0,186.0,70.0,0.0,511.0,0.06153288600035012,539.7429141179595,534.2441691288606,4620879,373.47300900000005,-655.8330780000001
118,Connecticut,65-74,First,68.0,284.0,0.0,70.0,39.0,28.0,87.0,114.0,52.0,100.0,157.0,0.0,53.0,42.0,12.0,50.0,51.0,49.0,25.0,281.0,60.0,61.0,757.0,4671.0,425.0,172.0,0.0,1029.0,0.1353232081979513,628.4929630240273,622.0034153489466,3175371,373.47300900000005,-655.8330780000001
120,Connecticut,75-84,First,48.0,352.0,34.0,121.0,72.0,35.0,130.0,136.0,100.0,156.0,222.0,0.0,85.0,39.0,0.0,80.0,115.0,69.0,25.0,437.0,57.0,203.0,1183.0,6602.0,574.0,264.0,11.0,1518.0,0.39361876621842384,717.8479718174741,709.272446868535,1674855,373.47300900000005,-655.8330780000001
122,Connecticut,85+,First,65.0,489.0,83.0,190.0,119.0,55.0,155.0,134.0,183.0,272.0,360.0,21.0,177.0,47.0,0.0,91.0,203.0,84.0,56.0,617.0,61.0,481.0,2041.0,10793.0,896.0,389.0,11.0,2561.0,0.706667996942997,765.0,765.0,821970,373.47300900000005,-655.8330780000001
126,Delaware,0-24,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.006163668785593471,102.16902982856244,109.24373247813168,2565009,354.230514,-680.0115149999999
128,Delaware,25-34,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.016359568736515936,266.56977088916557,265.34918606110034,1147752,354.230514,-680.0115149999999
130,Delaware,35-44,First,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.02349376296624542,354.7568790002115,354.17939392861587,1012158,354.230514,-680.0115149999999
