,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,LATITUDE,LONGITUDE
552,0.03332387170025546,0.07419812659665058,0.004655123474311666,0.03775191598069827,0.014078910019869429,0.009764405336361056,0.012546125461254613,0.022878228782287822,0.011410729491910304,0.03491342605733749,0.10133409026397956,0.0011921657678115242,0.022367300596082884,0.008515469770082317,0.0011353959693443088,0.009877944933295487,0.004711893272778882,0.01918819188191882,0.0061311382344592675,0.08731195004257734,0.01981265966505819,0.02077774623900085,0.21311382344592678,0.16162361623616237,0.10712460970763554,0.0013057053647459551,0.26925915413000284,0.41298448629677287,717.8467523396349,709.6609284178676,363.8862899999999,-669.889872
554,0.020475689984039862,0.06053174510490872,0.00868075830121842,0.028416832107127563,0.01529837673712484,0.008447195297598194,0.009420374479349137,0.012768110864572385,0.014169488886293744,0.030908170812409982,0.08046245474716805,0.002063139865312001,0.022616684183891938,0.005410876250535248,0.0,0.008369340963058119,0.0059169294250457395,0.011561368679201215,0.0061894195959360035,0.06909572190431702,0.010977461170150648,0.03425590719763323,0.1895753046050839,0.13756860913231345,0.08458873447779205,0.0018295768616917747,0.24450153762310717,0.7277193143963814,765.0,765.0,363.8862899999999,-669.889872
558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006575863290927372,115.11026470928586,110.60528230587727,311.694696,-957.1891409999998
560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021103896103896104,0.0,0.0,0.0,0.025974025974025976,0.01947850392898545,268.4782496033612,265.09000516528926,311.694696,-957.1891409999998
562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.015915119363395226,0.0,0.0,0.04907161803713528,0.028025765181519086,358.68477116631533,353.9353238950522,311.694696,-957.1891409999998
564,0.0,0.009821428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011607142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048214285714285716,0.04642857142857143,0.011607142857142858,0.0,0.09017857142857143,0.04764709034934639,450.18954177157974,445.9911945569442,311.694696,-957.1891409999998
566,0.0,0.00948316737790422,0.0,0.0,0.0,0.0,0.0,0.00474158368895211,0.0,0.0,0.02797534376481745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005215742057847321,0.0,0.0,0.06116642958748222,0.0858226647700332,0.030346135609293504,0.0,0.1204362256993836,0.08303331630304456,540.2071525352482,535.4667885726012,311.694696,-957.1891409999998
568,0.0,0.009913655260633194,0.0,0.0,0.0,0.0,0.0,0.003837543971858011,0.0,0.0031979533098816758,0.02078669651423089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007355292612727854,0.0,0.0,0.05692356891589383,0.0828269907259354,0.02238567316917173,0.0,0.116405500479693,0.16339829396456482,627.4389759754876,622.3610473844346,311.694696,-957.1891409999998
570,0.0,0.016451878256100904,0.0,0.0,0.0,0.0,0.0,0.004112969564025226,0.0,0.003016177680285166,0.018645462023581024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010693720866465589,0.0,0.0,0.054565396216068,0.08116259939676447,0.020290649849191118,0.0,0.11488894982177132,0.4186707844957709,717.6921534340371,709.1510016649661,311.694696,-957.1891409999998
572,0.0,0.010159651669085631,0.0,0.0,0.0,0.0,0.002660861151427189,0.0,0.0,0.0024189646831156266,0.00991775520077407,0.0,0.004837929366231253,0.0,0.0,0.0,0.0,0.0,0.0,0.00725689404934688,0.0,0.008708272859216255,0.05200774068698597,0.06676342525399129,0.01088534107402032,0.0,0.1042573778422835,0.7593575790524483,765.0,765.0,311.694696,-957.1891409999998
