,Adult respiratory distress syndrome,All other conditions and causes (residual),Alzheimer disease,Cardiac arrest,Cardiac arrhythmia,Cerebrovascular diseases,Chronic lower respiratory diseases,Diabetes,Heart failure,Hypertensive diseases,Influenza and pneumonia,"Intentional and unintentional injury, poisoning, and other adverse events",Ischemic heart disease,Malignant neoplasms,Obesity,Other diseases of the circulatory system,Other diseases of the respiratory system,Renal failure,Respiratory arrest,Respiratory failure,Sepsis,Vascular and unspecified dementia,COVID-19 Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Tables Death Rate,Average Age of Death,Average Age,LATITUDE,LONGITUDE
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021831587422639132,39.38776654478732,39.246725529494604,61.399882,-148.873973
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00452109519392252,50.32160585055203,49.58573136519135,61.399882,-148.873973
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.008150477660819888,60.02547131223405,59.412257760246966,61.399882,-148.873973
29,0.0,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021604938271604937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.04938271604938271,0.023148148148148147,0.0,0.11419753086419752,0.017481041606515646,69.52559576736276,68.87448613376836,61.399882,-148.873973
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04747320061255743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10566615620214395,0.05666156202143951,0.05053598774885146,0.0,0.12404287901990811,0.05093870460987092,79.45962321470456,78.51149002466785,61.399882,-148.873973
33,0.0,0.019538188277087035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019538188277087035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11367673179396093,0.07282415630550622,0.03907637655417407,0.0,0.14031971580817051,0.09074674546718597,85.0,85.0,61.399882,-148.873973
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006843793499865569,12.330249794445752,12.329611464387815,33.368266,-111.86431000000002
39,0.0,0.0231023102310231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03052805280528053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02145214521452145,0.0,0.0,0.06105610561056106,0.04785478547854786,0.03217821782178218,0.0,0.08828382838283828,0.0014752268209122124,29.637032947061876,29.39218303889967,33.368266,-111.86431000000002
41,0.017737003058103974,0.048318042813455656,0.0,0.0,0.0,0.0,0.0,0.01345565749235474,0.0,0.007339449541284404,0.07033639143730887,0.0,0.0,0.0,0.01834862385321101,0.0,0.007339449541284404,0.0,0.0,0.04892966360856269,0.0,0.0,0.1290519877675841,0.10336391437308869,0.06972477064220184,0.0,0.17003058103975535,0.0019585232017561792,39.664829820266014,39.39822824387702,33.368266,-111.86431000000002
43,0.045881126173096975,0.07577337504344804,0.0,0.022940563086548488,0.0,0.0,0.0,0.028501911713590546,0.0,0.023983315954118872,0.13277719847062913,0.0,0.005561348627042058,0.0,0.028849496002780674,0.008689607229753215,0.0072992700729927005,0.014946124435175531,0.0,0.08585331942996177,0.012860618700034758,0.0,0.2151546750086896,0.170316301703163,0.13381995133819952,0.0,0.24852276677094196,0.0040929430630058045,50.14432320441464,49.48570713726928,33.368266,-111.86431000000002
